330805124,19,6870,LF,1,1
330805124,19,6899,2B,2,1
330805124,19,7054,1B,3,1
330805124,19,9341,RF,4,1
330805124,19,7710,CF,5,1
330805124,19,8373,C,6,1
330805124,19,6698,3B,7,1
330805124,19,6793,SS,8,1
330805124,19,7257,P,9,1
330805124,24,8953,2B,1,1
330805124,24,6132,RF,2,1
330805124,24,8649,1B,3,1
330805124,24,7311,LF,4,1
330805124,24,8402,3B,5,1
330805124,24,8717,CF,6,1
330805124,24,8938,C,7,1
330805124,24,8831,SS-3B,8,1
330805124,24,7048,P,9,1
330805124,24,9070,PH,9,2
330805124,19,8442,P,9,2
330805124,24,9426,P,9,3
330805124,19,9306,P,1,2
330805124,19,7567,LF,9,3
330805124,24,8934,PR-SS,5,2
330805124,24,9383,P,9,4
330805124,24,9100,PH,9,5
330806124,19,6870,LF,1,1
330806124,19,6899,2B,2,1
330806124,19,7054,1B,3,1
330806124,19,9341,RF,4,1
330806124,19,7710,CF,5,1
330806124,19,8373,C,6,1
330806124,19,6698,3B,7,1
330806124,19,6793,SS,8,1
330806124,19,8180,P,9,1
330806124,24,8953,2B,1,1
330806124,24,6132,RF,2,1
330806124,24,8649,1B,3,1
330806124,24,7311,LF,4,1
330806124,24,8402,3B,5,1
330806124,24,8717,CF,6,1
330806124,24,8938,C,7,1
330806124,24,8934,SS,8,1
330806124,24,9212,P,9,1
330806124,24,6513,P,9,2
330806124,24,9383,P,9,3
330806124,19,7567,PH-2B,9,2
330806124,24,9426,P,9,4
330806124,24,9240,P,5,2
330806124,24,8831,3B,9,5
330806124,19,7572,P,2,2
330806124,19,7464,P,2,3
330806124,24,9070,PR-LF,4,2
330806124,24,9100,PH,5,3
330806124,19,7789,P,2,4
330806124,24,7801,P,5,4
330807124,19,6870,LF,1,1
330807124,19,6127,3B,2,1
330807124,19,7054,1B,3,1
330807124,19,9341,RF,4,1
330807124,19,7710,CF,5,1
330807124,19,7567,2B,6,1
330807124,19,9075,C,7,1
330807124,19,8863,SS,8,1
330807124,19,7720,P,9,1
330807124,24,8953,2B,1,1
330807124,24,8717,CF,2,1
330807124,24,6132,RF,3,1
330807124,24,7311,LF,4,1
330807124,24,8402,3B,5,1
330807124,24,9100,1B,6,1
330807124,24,8938,C,7,1
330807124,24,8831,SS-3B,8,1
330807124,24,8871,P,9,1
330807124,24,9408,P,9,2
330807124,24,6500,P,9,3
330807124,19,6793,PH-SS,9,2
330807124,24,6513,P,5,2
330807124,24,8934,SS,9,4
330807124,19,9295,P,8,2
330807124,24,9467,PH,5,3
330807124,24,9416,P,5,4
330807124,19,6698,PH,8,3
330807124,19,9306,P,8,4
330807124,24,8101,P,5,5
330807124,19,7789,P,8,5
330807124,24,9070,PH,3,2
330808124,19,6870,LF,1,1
330808124,19,6899,2B,2,1
330808124,19,7054,1B,3,1
330808124,19,9341,RF,4,1
330808124,19,7710,CF,5,1
330808124,19,8373,C,6,1
330808124,19,6698,3B,7,1
330808124,19,8863,SS,8,1
330808124,19,9317,P,9,1
330808124,24,8953,2B,1,1
330808124,24,6132,RF,2,1
330808124,24,8649,1B,3,1
330808124,24,7311,LF,4,1
330808124,24,8402,3B,5,1
330808124,24,8717,CF,6,1
330808124,24,8101,C,7,1
330808124,24,8934,SS,8,1
330808124,24,9376,P,9,1
330808124,24,9383,P,9,2
330808124,24,9204,P,9,3
330808124,24,9408,P,7,2
